E2;MP_15047_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Tisztatér  Helyiség közepe (at rest)_Tisztatér (emelet)  492/4/em;EDT;TAMC
E3;MP_15048_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Padló Csatornaszemnél_Tisztatér (emelet)  492/4/em;EDT;TAMC
E4;MP_15049_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Fal Vészkijárat mellett 0,2m-re 1 m magasan_Tisztatér (emelet)  492/4/em;EDT;TAMC
E5;MP_15050_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Tálcás szárító Ajtó fogantyú_Tisztatér (emelet)  492/4/em;EDT;TAMC
E6;MP_15051_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Centrifuga Külsõ felület_Tisztatér (emelet)  492/4/em;EDT;TAMC
E7;MP_15052_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Tálcamosó Ajtó fogantyú_Tisztatér (emelet)  492/4/em;EDT;TAMC
E8;MP_15053_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Tisztatér Helyiség közepe (at rest) levegõ_Tisztatér (földszint) 492/4/fsz;EDT;TAMC
E9;MP_15054_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Padló Csatornaszemnél_Tisztatér (földszint) 492/4/fsz;EDT;TAMC
E10;MP_15055_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Fal Anyagzsilip mellett 0,2 m-re 1 m magasan_Tisztatér (földszint) 492/4/fsz;EDT;TAMC
E11;MP_15056_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Kilincs Anyagzsilip ajtó_Tisztatér (földszint) 492/4/fsz;EDT;TAMC
E12;MP_15057_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;Mérleg Mérõfelület közepe_Tisztatér (földszint) 492/4/fsz;EDT;TAMC
